,Compound,Date,Negative,Neutral,Positive,Source,Tweets_Ago,text
0,0.0,Wed Jan 10 16:12:09 +0000 2018,0.0,1.0,0.0,@BBC,1,@MrGPrimary @tim_jumpclarke @redgierob @ICTEvangelist @gazneedle @thisfoolj @JennaLucas81 @bryngoodman @leah_moo… https://t.co/8N2cUdR5tO
1,-0.296,Wed Jan 10 16:11:52 +0000 2018,0.095,0.905,0.0,@BBC,2,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
2,-0.296,Wed Jan 10 16:11:30 +0000 2018,0.095,0.905,0.0,@BBC,3,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
3,0.0,Wed Jan 10 16:11:29 +0000 2018,0.0,1.0,0.0,@BBC,4,"RT @Umakant_satlok: #1CroreChallenge
@BBC @BBCHindi
@DDNewsHindi
@BBCsarika
@Zubair_BBC
@BBCMukeshS
@BBCPankajP
@vandnadhand
@TweetNitinS
न…"
4,0.3818,Wed Jan 10 16:11:14 +0000 2018,0.0,0.88,0.12,@BBC,5,"@TurnerMalcolm @afneil @BBC Dear sir 
As @afneil is the most balanced in the media, are you a selective listener or… https://t.co/58wJdce49l"
5,-0.296,Wed Jan 10 16:11:08 +0000 2018,0.095,0.905,0.0,@BBC,6,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
6,0.0,Wed Jan 10 16:11:06 +0000 2018,0.0,1.0,0.0,@BBC,7,@grandpa00seven @cjwerleman @BBC @DouglasKMurray Douglas Murray is 100% correct
7,-0.7397,Wed Jan 10 16:10:43 +0000 2018,0.294,0.706,0.0,@BBC,8,RT @AnnaMcMorrin: .@BBC @BBCRadio4 this is a very bad decision. Stop trying to shut down Women’s voices. https://t.co/vPulAVwLCo
8,-0.296,Wed Jan 10 16:10:42 +0000 2018,0.099,0.901,0.0,@BBC,9,The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are tr… https://t.co/mll5bZqd2J
9,0.0,Wed Jan 10 16:10:36 +0000 2018,0.0,1.0,0.0,@BBC,10,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
10,0.0,Wed Jan 10 16:10:17 +0000 2018,0.0,1.0,0.0,@BBC,11,#CES 2018: @Kodak's plans for the #KodakCoin and @Bitcoin mining: https://t.co/xGj6ubiOKQ via @BBC
11,0.775,Wed Jan 10 16:10:09 +0000 2018,0.04,0.73,0.231,@BBC,12,RT @TomLondon6: Of course @BBC must deal urgently and decisively with the equal pay issue but it should also engage urgently and in good fa…
12,0.0,Wed Jan 10 16:10:01 +0000 2018,0.0,1.0,0.0,@BBC,13,Applications are OPEN! 14 weeks PAID TV training followed by paid placement @BBC - For more info &amp; to apply visit:… https://t.co/ZPNuUC3Yqi
13,0.0,Wed Jan 10 16:09:39 +0000 2018,0.0,1.0,0.0,@BBC,14,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
14,0.0,Wed Jan 10 16:09:35 +0000 2018,0.0,1.0,0.0,@BBC,15,@CHI2COL @OscarRainy @melsil @BBC I know what your mother thinks. Go show her how you’re talking to this woman and… https://t.co/EsTA6z5Wau
15,0.4215,Wed Jan 10 16:09:26 +0000 2018,0.0,0.823,0.177,@BBC,16,@CEBaines @CaptainPooper @BBC @Channel4 @4oD @MrCallumBlue I'm starting #AsIfBoxSet and hoping Channel 4 will notice.
16,-0.5913,Wed Jan 10 16:09:15 +0000 2018,0.224,0.692,0.084,@BBC,17,@BBC A dog's ability to smell cancer is genetic. It cannot be created through ANY training. The dog is only being t… https://t.co/oByvSasTcZ
17,0.0,Wed Jan 10 16:08:59 +0000 2018,0.0,1.0,0.0,@BBC,18,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
18,0.3612,Wed Jan 10 16:08:50 +0000 2018,0.0,0.878,0.122,@BBC,19,RT @BBC: These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈 https://t.co/YxteoBMtli https:/…
19,0.3612,Wed Jan 10 16:08:28 +0000 2018,0.0,0.884,0.116,@BBC,20,@BeautifulVeruca @melsil @BBC Sounds like something out of a schoolyard doesn’t it... now get off of her page and g… https://t.co/5sYLvl0hHL
20,0.0,Wed Jan 10 16:08:28 +0000 2018,0.0,1.0,0.0,@BBC,21,RT @CEBaines: @sophiegrenham @CaptainPooper @BBC @Channel4 @4oD @MrCallumBlue HERE HERE
21,0.0,Wed Jan 10 16:07:46 +0000 2018,0.0,1.0,0.0,@BBC,22,@TurnerMalcolm @afneil @BBC That's @bbclaurak out of a job then.
22,0.2263,Wed Jan 10 16:07:17 +0000 2018,0.0,0.808,0.192,@BBC,23,RT @andreuswolf: Okay @BBC employ this person immediately https://t.co/oZ1nQWB4fo
23,-0.5859,Wed Jan 10 16:06:40 +0000 2018,0.242,0.758,0.0,@BBC,24,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
24,0.4902,Wed Jan 10 16:06:34 +0000 2018,0.0,0.834,0.166,@BBC,25,@BeautifulVeruca @melsil @BBC Well the world is going out of business so that’s fine. We will all wake up one day a… https://t.co/b1Gek33Cwq
25,0.1531,Wed Jan 10 16:06:09 +0000 2018,0.122,0.722,0.156,@BBC,26,@DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK @DrGPradhan when you will stop sharing fake… https://t.co/bRTP9TIO92
26,0.0,Wed Jan 10 16:06:04 +0000 2018,0.0,1.0,0.0,@BBC,27,@HeadbandFilms @OscarRainy @melsil @BBC Now you're going to tell me what my mother thinks? Loosen up that headband and go to bed.
27,0.2732,Wed Jan 10 16:05:57 +0000 2018,0.0,0.769,0.231,@BBC,28,Well done @BBC. He's a known CONVICTED paedophile here
28,0.0,Wed Jan 10 16:05:39 +0000 2018,0.0,1.0,0.0,@BBC,29,"Česko v zahraničí @BBC #czechelection #newpresident 
BBC News - Czech election: The politically incorrect president… https://t.co/QaSMSr61ZG"
29,0.0,Wed Jan 10 16:05:33 +0000 2018,0.0,1.0,0.0,@BBC,30,RT @NuraRabiu19: The int'l media houses @bbc @cnn @afp @nbcnews @foxnews @AJEnglish @xhnews &amp; local medias @dailytrust are part of the curr…
30,0.0,Wed Jan 10 16:05:13 +0000 2018,0.0,1.0,0.0,@BBC,31,RT @TheICMP: Bodies of some 100 German soldiers from #WW2 found in #Estonia @BBC  https://t.co/MlkYsZVd2v
31,0.0,Wed Jan 10 16:05:13 +0000 2018,0.0,1.0,0.0,@BBC,32,Bodies of some 100 German soldiers from #WW2 found in #Estonia @BBC  https://t.co/MlkYsZVd2v
32,0.0,Wed Jan 10 16:04:47 +0000 2018,0.0,1.0,0.0,@BBC,33,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
33,0.0,Wed Jan 10 16:04:06 +0000 2018,0.0,1.0,0.0,@BBC,34,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
34,-0.0516,Wed Jan 10 16:03:59 +0000 2018,0.113,0.781,0.105,@BBC,35,"RT @BBC: Next time you're tempted to write 'clean me' on the back of a dirty van, why not think bigger? 🚚 🎨 https://t.co/lY5SZwktli https:/…"
35,0.34,Wed Jan 10 16:03:50 +0000 2018,0.0,0.909,0.091,@BBC,36,"RT @JimChapman: Hey, @BBC, can you make another series of 'walking with dinosaurs'? The last one was in 1999. It was amazing but there's so…"
36,-0.5859,Wed Jan 10 16:03:43 +0000 2018,0.242,0.758,0.0,@BBC,37,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
37,-0.5859,Wed Jan 10 16:03:23 +0000 2018,0.226,0.774,0.0,@BBC,38,#NotAFakeNews&gt;New York State Assemblywoman #PamelaHarris(#@DEMOCRAT) Indicted on 11 Counts of Fraud and Tampering-… https://t.co/aLs1O22zoY
38,-0.5859,Wed Jan 10 16:03:21 +0000 2018,0.242,0.758,0.0,@BBC,39,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
39,-0.5859,Wed Jan 10 16:03:08 +0000 2018,0.242,0.758,0.0,@BBC,40,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
40,-0.5267,Wed Jan 10 16:02:59 +0000 2018,0.167,0.833,0.0,@BBC,41,RT @FireEye: .@JohnHultquist spoke with the @BBC on the #cyber threat landscape moving into 2018 https://t.co/jSOWBeuMSn via @gordoncorera
41,-0.6597,Wed Jan 10 16:02:30 +0000 2018,0.216,0.784,0.0,@BBC,42,RT @BBC: Researchers have published a study revealing that dogs can be trained to smell cancer. 🐶 https://t.co/9mP5kjg6CZ https://t.co/yb7l…
42,0.0,Wed Jan 10 16:02:21 +0000 2018,0.0,1.0,0.0,@BBC,43,@goldgems11 @obyezeks @NOIweala @PoliceNG @IOmuta @segalink @AJStream @BBC @CNN @UN_Women @nassnigeria @camanpour… https://t.co/aDtsQqeMfb
43,0.0,Wed Jan 10 16:01:52 +0000 2018,0.0,1.0,0.0,@BBC,44,RT @infante: @BBC  https://t.co/I6xACeR41X
44,0.3612,Wed Jan 10 16:01:51 +0000 2018,0.0,0.894,0.106,@BBC,45,@CHI2COL @OscarRainy @melsil @BBC I bet the woman who pushed you out of her vagina would agree that it should be th… https://t.co/JyRNTZb0Ru
45,0.8885,Wed Jan 10 16:01:29 +0000 2018,0.0,0.531,0.469,@BBC,46,"@Camillapalmer @OReillyMiriam @BBC Yes, huge respect for Miriam and your vanguard action. A brave trailblazer in th… https://t.co/IT3qZRUUci"
46,0.3612,Wed Jan 10 16:01:16 +0000 2018,0.092,0.753,0.155,@BBC,47,"RT @BBC: Katie has around 16 seizures everyday. But that doesn’t stop her from doing what she loves. 🏃
#EverydayHeroes https://t.co/J7i1kN3…"
47,0.0,Wed Jan 10 16:00:54 +0000 2018,0.0,1.0,0.0,@BBC,48,@boomlive_in @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Wow..outrage is more on sarcas… https://t.co/TOMgfjf75W
48,0.0,Wed Jan 10 16:00:43 +0000 2018,0.0,1.0,0.0,@BBC,49,@BBC #BowieForever https://t.co/15JA20nLag
49,0.0,Wed Jan 10 16:00:17 +0000 2018,0.0,1.0,0.0,@BBC,50,@theAliceRoberts @Dr_L_Strickland @ConversationUK @BBC @mmu_RAH @Humanists_UK As I see it - there's room for everyo… https://t.co/j277sKYPaO
50,0.4767,Wed Jan 10 15:58:59 +0000 2018,0.166,0.581,0.253,@BBC,51,RT @Camillapalmer: don’t forget  @OReillyMiriam  was the brave woman taking risks for others @bbc. Support is key https://t.co/Z8hM52dpB9
51,-0.8689,Wed Jan 10 15:58:16 +0000 2018,0.468,0.532,0.0,@BBC,52,@BBC If dogs can smell cancer can't we develop a cancer smelling device?
52,-0.4019,Wed Jan 10 15:58:00 +0000 2018,0.162,0.838,0.0,@BBC,53,"@kfury @BBCEarth @BBC fuzzing reality with artistic license, fostering #FakeNews problem, provocatively.  Editor no… https://t.co/4kmPOIz84L"
53,-0.4767,Wed Jan 10 15:57:10 +0000 2018,0.129,0.871,0.0,@BBC,54,RT @nerdette: The #paygap row at the @BBC  continues to get worse. Diversity expert @cindygallop has some advice for Tony Hall https://t.co…
54,0.0,Wed Jan 10 15:57:07 +0000 2018,0.0,1.0,0.0,@BBC,55,@LorderonKnights @CIA @euronews @France24_en @CNN @BBC @AP @FoxNews @PressTV @BorisJohnson @JZarif @UN @nytimes Goo… https://t.co/tHvLtcGW5R
55,0.5423,Wed Jan 10 15:57:05 +0000 2018,0.0,0.756,0.244,@BBC,56,"@HeadbandFilms @melsil @BBC I wish you luck, Sure laws could be passed in different countries but that will never h… https://t.co/6AkrBhf62t"
56,0.6249,Wed Jan 10 15:57:03 +0000 2018,0.0,0.814,0.186,@BBC,57,Great to see a short @BBC interview with artist and musician Danny Sumbler about the relationship between his Toure… https://t.co/ihP8s9ttxj
57,-0.5859,Wed Jan 10 15:56:21 +0000 2018,0.242,0.758,0.0,@BBC,58,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
58,-0.5859,Wed Jan 10 15:55:48 +0000 2018,0.242,0.758,0.0,@BBC,59,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
59,0.3612,Wed Jan 10 15:55:47 +0000 2018,0.092,0.753,0.155,@BBC,60,"RT @BBC: Katie has around 16 seizures everyday. But that doesn’t stop her from doing what she loves. 🏃
#EverydayHeroes https://t.co/J7i1kN3…"
60,0.0,Wed Jan 10 15:55:42 +0000 2018,0.0,1.0,0.0,@BBC,61,@BBC @CNN @AJEnglish @WHO     https://t.co/M4MSahLg1J
61,0.34,Wed Jan 10 15:55:00 +0000 2018,0.0,0.909,0.091,@BBC,62,"RT @JimChapman: Hey, @BBC, can you make another series of 'walking with dinosaurs'? The last one was in 1999. It was amazing but there's so…"
62,0.4019,Wed Jan 10 15:54:30 +0000 2018,0.137,0.629,0.234,@BBC,63,"RT @CaponesShadow: @HonseyBunsey @BBC @markbenton100 @chesloza @ChrissyBotto @PhilMealey Was great, unfortunately only 2 series"
63,0.2003,Wed Jan 10 15:54:23 +0000 2018,0.148,0.667,0.185,@BBC,64,RT @HonseyBunsey: @CaponesShadow @BBC @markbenton100 @chesloza @ChrissyBotto @PhilMealey What a fantastic series that was! Such a shame onl…
64,-0.1053,Wed Jan 10 15:53:14 +0000 2018,0.191,0.682,0.127,@BBC,65,"@LaraLatex @guardian @BBC @Channel4News How I couldn't agree more Lara 👍

It's why I'm blocked by the likes of… https://t.co/ez1dq07Z36"
65,0.0,Wed Jan 10 15:52:42 +0000 2018,0.0,1.0,0.0,@BBC,66,@DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Delete karega ye chutiya
66,0.0,Wed Jan 10 15:52:21 +0000 2018,0.0,1.0,0.0,@BBC,67,RT @hashtagourstory: We just got mentioned at a big @BBC event! https://t.co/7dVWJvb0br
67,0.0,Wed Jan 10 15:52:17 +0000 2018,0.0,1.0,0.0,@BBC,68,@WarrenBuffett @reason @catoletters @CatoInstitute @FreeStateNH @NewsBank @FoxNews @foxnewspolitics @Hearst… https://t.co/4aDei48hyr
68,0.25,Wed Jan 10 15:51:54 +0000 2018,0.112,0.728,0.16,@BBC,69,@TurnerMalcolm @acgrayling @afneil @BBC Is this another undemocratic anti free speech attempt to silence an intervi… https://t.co/Eqb4QAUG3K
69,0.3182,Wed Jan 10 15:51:03 +0000 2018,0.0,0.827,0.173,@BBC,70,RT @BBC: Think you're a bigger football fan than this guy? ❤️️️⚽️ https://t.co/nwkebUvYmb
70,0.0,Wed Jan 10 15:50:51 +0000 2018,0.0,1.0,0.0,@BBC,71,"RT @BBC: 🐋❤️️ Could this be the first case on record of a humpback protecting a human?

Via @BBCNews https://t.co/78l0AKNbxB"
71,0.6369,Wed Jan 10 15:50:41 +0000 2018,0.0,0.756,0.244,@BBC,72,"RT @BBC: 'I fell in love with a sperm donor I met on Craigslist.'

#EmmaBarnettShow https://t.co/9C48CTI4lF"
72,0.0,Wed Jan 10 15:50:12 +0000 2018,0.0,1.0,0.0,@BBC,73,@boomlive_in @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK @TwitterIndia need to take act… https://t.co/U9OwuXqCBR
73,0.0,Wed Jan 10 15:49:46 +0000 2018,0.0,1.0,0.0,@BBC,74,The 30-year-old woman who designed a $1bn business https://t.co/SfsI6piylN | via @BBC
74,-0.5859,Wed Jan 10 15:49:34 +0000 2018,0.242,0.758,0.0,@BBC,75,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
75,0.0,Wed Jan 10 15:49:22 +0000 2018,0.0,1.0,0.0,@BBC,76,"@CHI2COL @HeadbandFilms @melsil @BBC Massive strawman there. Did you not understand what I said, or...?"
76,0.0,Wed Jan 10 16:12:09 +0000 2018,0.0,1.0,0.0,@BBC,77,@MrGPrimary @tim_jumpclarke @redgierob @ICTEvangelist @gazneedle @thisfoolj @JennaLucas81 @bryngoodman @leah_moo… https://t.co/8N2cUdR5tO
77,-0.296,Wed Jan 10 16:11:52 +0000 2018,0.095,0.905,0.0,@BBC,78,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
78,-0.296,Wed Jan 10 16:11:30 +0000 2018,0.095,0.905,0.0,@BBC,79,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
79,0.0,Wed Jan 10 16:11:29 +0000 2018,0.0,1.0,0.0,@BBC,80,"RT @Umakant_satlok: #1CroreChallenge
@BBC @BBCHindi
@DDNewsHindi
@BBCsarika
@Zubair_BBC
@BBCMukeshS
@BBCPankajP
@vandnadhand
@TweetNitinS
न…"
80,0.3818,Wed Jan 10 16:11:14 +0000 2018,0.0,0.88,0.12,@BBC,81,"@TurnerMalcolm @afneil @BBC Dear sir 
As @afneil is the most balanced in the media, are you a selective listener or… https://t.co/58wJdce49l"
81,-0.296,Wed Jan 10 16:11:08 +0000 2018,0.095,0.905,0.0,@BBC,82,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
82,0.0,Wed Jan 10 16:11:06 +0000 2018,0.0,1.0,0.0,@BBC,83,@grandpa00seven @cjwerleman @BBC @DouglasKMurray Douglas Murray is 100% correct
83,-0.7397,Wed Jan 10 16:10:43 +0000 2018,0.294,0.706,0.0,@BBC,84,RT @AnnaMcMorrin: .@BBC @BBCRadio4 this is a very bad decision. Stop trying to shut down Women’s voices. https://t.co/vPulAVwLCo
84,-0.296,Wed Jan 10 16:10:42 +0000 2018,0.099,0.901,0.0,@BBC,85,The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are tr… https://t.co/mll5bZqd2J
85,0.0,Wed Jan 10 16:10:36 +0000 2018,0.0,1.0,0.0,@BBC,86,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
86,0.0,Wed Jan 10 16:10:17 +0000 2018,0.0,1.0,0.0,@BBC,87,#CES 2018: @Kodak's plans for the #KodakCoin and @Bitcoin mining: https://t.co/xGj6ubiOKQ via @BBC
87,0.775,Wed Jan 10 16:10:09 +0000 2018,0.04,0.73,0.231,@BBC,88,RT @TomLondon6: Of course @BBC must deal urgently and decisively with the equal pay issue but it should also engage urgently and in good fa…
88,0.0,Wed Jan 10 16:10:01 +0000 2018,0.0,1.0,0.0,@BBC,89,Applications are OPEN! 14 weeks PAID TV training followed by paid placement @BBC - For more info &amp; to apply visit:… https://t.co/ZPNuUC3Yqi
89,0.0,Wed Jan 10 16:09:39 +0000 2018,0.0,1.0,0.0,@BBC,90,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
90,0.0,Wed Jan 10 16:09:35 +0000 2018,0.0,1.0,0.0,@BBC,91,@CHI2COL @OscarRainy @melsil @BBC I know what your mother thinks. Go show her how you’re talking to this woman and… https://t.co/EsTA6z5Wau
91,0.4215,Wed Jan 10 16:09:26 +0000 2018,0.0,0.823,0.177,@BBC,92,@CEBaines @CaptainPooper @BBC @Channel4 @4oD @MrCallumBlue I'm starting #AsIfBoxSet and hoping Channel 4 will notice.
92,-0.5913,Wed Jan 10 16:09:15 +0000 2018,0.224,0.692,0.084,@BBC,93,@BBC A dog's ability to smell cancer is genetic. It cannot be created through ANY training. The dog is only being t… https://t.co/oByvSasTcZ
93,0.0,Wed Jan 10 16:08:59 +0000 2018,0.0,1.0,0.0,@BBC,94,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
94,0.3612,Wed Jan 10 16:08:50 +0000 2018,0.0,0.878,0.122,@BBC,95,RT @BBC: These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈 https://t.co/YxteoBMtli https:/…
95,0.3612,Wed Jan 10 16:08:28 +0000 2018,0.0,0.884,0.116,@BBC,96,@BeautifulVeruca @melsil @BBC Sounds like something out of a schoolyard doesn’t it... now get off of her page and g… https://t.co/5sYLvl0hHL
96,0.0,Wed Jan 10 16:08:28 +0000 2018,0.0,1.0,0.0,@BBC,97,RT @CEBaines: @sophiegrenham @CaptainPooper @BBC @Channel4 @4oD @MrCallumBlue HERE HERE
97,0.0,Wed Jan 10 16:07:46 +0000 2018,0.0,1.0,0.0,@BBC,98,@TurnerMalcolm @afneil @BBC That's @bbclaurak out of a job then.
98,0.2263,Wed Jan 10 16:07:17 +0000 2018,0.0,0.808,0.192,@BBC,99,RT @andreuswolf: Okay @BBC employ this person immediately https://t.co/oZ1nQWB4fo
99,-0.5859,Wed Jan 10 16:06:40 +0000 2018,0.242,0.758,0.0,@BBC,100,RT @boomlive_in: @DrGPradhan @Number10gov @BBC @BBCWorld @BBCNews @UKLabour @DailyMailUK Hi @DrGPradhan This was a mock protest against ISI…
100,-0.5106,Wed Jan 10 16:12:13 +0000 2018,0.125,0.875,0.0,@CNN,1,"RT @CNN: ""This f------ idiot is the president. It's The Emperor's New Clothes -- the guy is a f------ fool... our baby-in-chief -- the 'J--…"
101,0.0,Wed Jan 10 16:12:12 +0000 2018,0.0,1.0,0.0,@CNN,2,"RT @Amy_Siskind: @CNN Alums from Trump’s first call to Russia:  where are they now?  All gone except Pence, whose entire senior staff bolte…"
102,0.0,Wed Jan 10 16:12:11 +0000 2018,0.0,1.0,0.0,@CNN,3,"RT @CNN: Jorge Ramos on Trump calling for border wall to be part of DACA deal: ""If he wants the wall, let him have the wall. It's not going…"
103,-0.6249,Wed Jan 10 16:12:11 +0000 2018,0.369,0.631,0.0,@CNN,4,@CNN And the racism continues with the republicans.
104,-0.5106,Wed Jan 10 16:12:11 +0000 2018,0.125,0.875,0.0,@CNN,5,"RT @CNN: ""This f------ idiot is the president. It's The Emperor's New Clothes -- the guy is a f------ fool... our baby-in-chief -- the 'J--…"
105,-0.2732,Wed Jan 10 16:12:10 +0000 2018,0.174,0.734,0.093,@CNN,6,@CNN DeNiro is a pig. Why do you highlight him on your supposed news channel? No wonder you lack credibility by mak… https://t.co/yO2alMP5L1
106,-0.5423,Wed Jan 10 16:12:09 +0000 2018,0.259,0.741,0.0,@CNN,7,@CNN Is this how spoke with the woman he sexually harassed?
107,0.4019,Wed Jan 10 16:12:09 +0000 2018,0.0,0.844,0.156,@CNN,8,"@CNNnewsroom @CNN They all say they want Border Security, however are they willing to have someone stand guard 24/7/365? Build the Wall"
108,0.0,Wed Jan 10 16:12:09 +0000 2018,0.0,1.0,0.0,@CNN,9,@CNN Policies?????
109,0.1531,Wed Jan 10 16:12:09 +0000 2018,0.0,0.898,0.102,@CNN,10,"RT @CNN: ""Full Frontal"" host Samantha Bee has announced an ""Apology Race"" in which her team ""will travel the globe to apologize for every g…"
110,0.128,Wed Jan 10 16:12:08 +0000 2018,0.082,0.817,0.101,@CNN,11,"RT @CNN: Two musicians have cut business ties with H&amp;M after the fashion retailer used a young black model to promote a ""coolest monkey in…"
111,-0.6486,Wed Jan 10 16:12:08 +0000 2018,0.238,0.762,0.0,@CNN,12,"RT @larryelder: No, @CNN. You incorrectly state ""eight states...have legalized the recreational use of drugs."" Wrong. Those states removed…"
112,-0.5106,Wed Jan 10 16:12:08 +0000 2018,0.125,0.875,0.0,@CNN,13,"RT @CNN: ""This f------ idiot is the president. It's The Emperor's New Clothes -- the guy is a f------ fool... our baby-in-chief -- the 'J--…"
113,0.0,Wed Jan 10 16:12:07 +0000 2018,0.0,1.0,0.0,@CNN,14,RT @CNN: A Republican Kansas lawmaker has stepped down from a leadership position after he said African-Americans were more susceptible to…
114,-0.5106,Wed Jan 10 16:12:06 +0000 2018,0.125,0.875,0.0,@CNN,15,"RT @CNN: ""This f------ idiot is the president. It's The Emperor's New Clothes -- the guy is a f------ fool... our baby-in-chief -- the 'J--…"
115,-0.7003,Wed Jan 10 16:12:06 +0000 2018,0.345,0.655,0.0,@CNN,16,@CNN Too bad Robert De Niro lost his coolness and speaking this way.
116,-0.7104,Wed Jan 10 16:12:05 +0000 2018,0.412,0.588,0.0,@CNN,17,@CNN Robert D.is the IDIOT. TRUMP I THE GENIUS!!!😆😆😆.
117,0.5719,Wed Jan 10 16:12:03 +0000 2018,0.0,0.619,0.381,@CNN,18,“5th Avenue Republicans” @CNN perfect term #Trump
118,-0.5106,Wed Jan 10 16:12:03 +0000 2018,0.125,0.875,0.0,@CNN,19,"RT @CNN: ""This f------ idiot is the president. It's The Emperor's New Clothes -- the guy is a f------ fool... our baby-in-chief -- the 'J--…"
119,0.3612,Wed Jan 10 16:12:03 +0000 2018,0.0,0.762,0.238,@CNN,20,@CNN Who is Robert Deniro?  Sounds like an asshole.
120,0.481,Wed Jan 10 16:12:01 +0000 2018,0.0,0.837,0.163,@CNN,21,@CNN I think h&amp;m is going out of business and this help them to go through with bankruptcy.
121,0.0,Wed Jan 10 16:12:00 +0000 2018,0.0,1.0,0.0,@CNN,22,Study: Ibuprofen linked to male infertility @CNN https://t.co/k3H90lmmmh
122,0.128,Wed Jan 10 16:12:00 +0000 2018,0.082,0.817,0.101,@CNN,23,"RT @CNN: Two musicians have cut business ties with H&amp;M after the fashion retailer used a young black model to promote a ""coolest monkey in…"
123,0.7641,Wed Jan 10 16:12:00 +0000 2018,0.0,0.721,0.279,@CNN,24,@OdessaReneRive1 @CNN @morningmika It’s not hidden racism. It’s just people trying to find racism in places where t… https://t.co/30C8tjF3Xe
124,-0.0516,Wed Jan 10 16:12:00 +0000 2018,0.048,0.952,0.0,@CNN,25,RT @CNN: White House aides have been told to decide before the end of January whether they intend to leave the administration or stay throu…
